1. Código DANE Departamento,2. Código DANE Municipio,3. Informacion Predial utilizada,4. Número Predial Nacional o Información Predial Catastral,5. Dirección catastral del predio,6. Tipo de Asentamiento (Cabecera Municipal-Centros Poblados-Rural Dispersa),7. Tipo de Estratificacion,8. Estrato alcaldia,9. Estrato Atipico,10. ACUEDUCTO - NOMBRE EMPRESA,11. ACUEDUCTO - NIT,12. ACUEDUCTO -DV,13. ACUEDUCTO - NUIU,14. ACUEDUCTO - ESTRATO,15. ALCANTARILLADO - NOMBRE EMPRESA,16. ALCANTARILLADO - NIT,17. ALCANTARILLADO - DV,18. ALCANTARILLADO - NUIU,19. ALCANTARILLADO - ESTRATO,20. ASEO - NOMBRE EMPRESA,21. ASEO - NIT,22. ASEO - DV,23. ASEO - NUIU,24. ASEO -ESTRATO
52,490,1,524900000000000000058000000000,GUABAMIA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000059000000000,EL CARMEN,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000060000000000,MERIZALDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000061000000000,ZAPAGUAN,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000062000000000,SALTICO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000063000000000,SUERTE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000064000000000,DANUBIO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000065000000000,LAS MARIAS,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000066000000000,ZAPOTAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000067000000000,LA DISPENSA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000068000000000,PORVENIR,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000069000000000,CHAPLIN,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000070000000000,CHAPLIN,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000071000000000,LAS MARIAS,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000072000000000,CHAPLIN,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000073000000000,ALTERON,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000074000000000,CONEJO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000075000000000,MENZALDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000076000000000,QUEBRADA GRANDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000077000000000,MAYAGUA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000078000000000,LA MARIAS,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000079000000000,CONEJO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000080000000000,LA TURBIA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000081000000000,SOLEDAD,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000082000000000,EL PORTAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000083000000000,PITAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000084000000000,EL PITAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000085000000000,PITAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000086000000000,LA BOLSA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000087000000000,LA BOLSA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000088000000000,PITAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000089000000000,MIEL ABEJA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000090000000000,BRAZO LARGO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000091000000000,LA PALMERA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000092000000000,QUEBRADA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000093000000000,PLANTANILLO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000094000000000,MERIZALDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000095000000000,LINDERO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000096000000000,BRINCADERO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000097000000000,MERIZALDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000098000000000,BRINCADERO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000099000000000,COTRERAS,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000100000000000,PLATILLO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000101000000000,MERISALDE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000102000000000,PLATANILLO,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000103000000000,ZAPENGUE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000104000000000,SAPENGUE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000105000000000,SAPENGUE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000106000000000,SAPENGUE,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000107000000000,CALABAZAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000108000000000,CALABAZAL,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
52,490,1,524900000000000000109000000000,GARRAPATILLA,999,8,8,,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99,8,NO APLICA,NO APLICA,NO APLICA,99
